Gene_id,Gene_Chr,Gene_Start,Gene_End,Gene,RPKM
ENSG00000000003.14_2,X,99882106,99894988,TSPAN6,43.27412795
ENSG00000000005.5_2,X,99839799,99854882,TNMD,0
ENSG00000000419.12_2,20,49551404,49575092,DPM1,23.27121595
ENSG00000000457.13_2,1,169818772,169863408,SCYL3,4.279491821
ENSG00000000460.16_3,1,169631245,169823221,C1orf112,2.472994517
ENSG00000000938.12_2,1,27938575,27961788,FGR,6.519086537
ENSG00000000971.15_2,1,196621008,196716634,CFH,15.61286228
ENSG00000001036.13_2,6,143815948,143832827,FUCA2,15.04424911
ENSG00000001084.10_3,6,53362139,53481768,GCLC,30.1466581
ENSG00000001167.14_2,6,41040684,41067715,NFYA,6.092114981
ENSG00000001460.17_2,1,24683489,24743424,STPG1,8.059819643
ENSG00000001461.16_2,1,24742284,24799466,NIPAL3,9.263482644
ENSG00000001497.16_2,X,64732462,64754655,LAS1L,7.40085573
ENSG00000001561.6_2,6,46097730,46114436,ENPP4,22.57659399
ENSG00000001617.11_2,3,50192478,50226508,SEMA3F,22.36001468
ENSG00000001626.14_3,7,117105838,117356025,CFTR,4.217721222
ENSG00000001629.9_3,7,91875548,92030698,ANKIB1,7.719106337
ENSG00000001630.15_3,7,91741465,91772266,CYP51A1,15.06170391
ENSG00000001631.15_3,7,91828283,91875480,KRIT1,7.920757948
ENSG00000002016.17_3,12,1021243,1099219,RAD52,3.195459124
ENSG00000002079.13_2,7,98836417,98908753,MYH16,0.161705836
ENSG00000002330.13_2,11,64037302,64052176,BAD,30.70544202
ENSG00000002549.12_2,4,17578815,17609595,LAP3,32.45355672
ENSG00000002586.18_3,X,2609220,2659350,CD99,29.70161327
ENSG00000002586.18_3_PAR_Y,Y,2559220,2609350,CD99,0
ENSG00000002587.9_3,4,11394774,11431389,HS3ST1,18.6635321
ENSG00000002726.20_3,7,150521715,150558592,AOC1,0.804554195
ENSG00000002745.12_2,7,120965421,120981158,WNT16,0.104828622
ENSG00000002746.14_3,7,43152198,43605600,HECW1,0.006119695
ENSG00000002822.15_3,7,1855429,2272878,MAD1L1,2.600489292
ENSG00000002834.17_3,17,37026112,37078023,LASP1,34.4904243
ENSG00000002919.14_2,17,46180719,46200436,SNX11,4.352866101
ENSG00000002933.7_3,7,150497491,150502208,TMEM176A,7.156594913
ENSG00000003056.3,12,9092959,9102551,M6PR,25.09315375
ENSG00000003096.14_3,X,117031776,117251303,KLHL13,2.235568327
ENSG00000003137.8_2,2,72356367,72375167,CYP26B1,0
ENSG00000003147.17_2,7,8152814,8302317,ICA1,6.53498546
ENSG00000003249.13_2,16,90071273,90086536,DBNDD1,2.194065693
ENSG00000003393.14_3,2,202565277,202645912,ALS2,3.62125146
ENSG00000003400.14_3,2,202047604,202094129,CASP10,3.951761749
ENSG00000003402.19_3,2,201980827,202041410,CFLAR,15.85388786
ENSG00000003436.15_2,2,188328957,188430487,TFPI,0.430444812
ENSG00000003509.15_2,2,37458774,37480546,NDUFAF7,3.838863777
ENSG00000003756.16_3,3,50126341,50156454,RBM5,19.67835358
ENSG00000003987.13_2,8,17155539,17271037,MTMR7,0.935892887
ENSG00000003989.17_3,8,17354597,17428082,SLC7A2,32.3142981
ENSG00000004059.10_3,7,127228399,127231759,ARF5,53.22884811
ENSG00000004139.13_3,17,26691378,26731067,SARM1,7.260181333
ENSG00000004142.11_2,17,26674203,26684545,POLDIP2,30.26510132
ENSG00000004399.12_3,3,129274018,129325661,PLXND1,3.671329696
ENSG00000004455.16_2,1,33473541,33546597,AK2,12.87320011
ENSG00000004468.12_2,4,15779898,15854853,CD38,9.171583104
ENSG00000004478.7_2,12,2904119,2914589,FKBP4,18.65415218
ENSG00000004487.15_3,1,23345941,23410182,KDM1A,13.23461358
ENSG00000004534.14_3,3,49977440,50137478,RBM6,20.5831761
ENSG00000004660.14_2,17,3763609,3798185,CAMKK1,2.551720564
ENSG00000004700.15_3,12,21621845,21654603,RECQL,9.033255538
ENSG00000004766.15_2,7,92861653,92990433,VPS50,2.711916684
ENSG00000004776.12_2,19,36245470,36248980,HSPB6,0.099316135
ENSG00000004777.18_3,19,36265434,36279724,ARHGAP33,12.64050833
ENSG00000004779.9_2,16,23592323,23607677,NDUFAB1,20.49296378
ENSG00000004799.7_2,7,95212811,95225803,PDK4,6.001282053
ENSG00000004809.13_3,6,110745890,110797844,SLC22A16,8.137110523
ENSG00000004838.13_2,3,50378541,50384283,ZMYND10,79.74136024
ENSG00000004846.16_2,7,20654830,20816658,ABCB5,0.018464197
ENSG00000004848.7_3,X,25021811,25034537,ARX,6.034093919
ENSG00000004864.13_2,7,95749532,95951459,SLC25A13,5.22136958
ENSG00000004866.20_3,7,116593292,116870157,ST7,3.367588399
ENSG00000004897.11_3,17,45195069,45266788,CDC27,5.33090951
ENSG00000004939.13_2,17,42325753,42345509,SLC4A1,0.064657866
ENSG00000004948.13_3,7,93053799,93204042,CALCR,0.028191171
